carat,x,y,z,price,volume,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.3,4.31,4.28,2.68,6.353,49.437424,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,6.42,6.46,4.04,9.183,167.551728,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.72,5.71,5.74,3.54,7.983,116.02491599999999,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.08,6.54,6.5,4.12,8.371,175.1412,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0.36,4.5,4.55,2.82,6.588,57.73949999999999,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.53,5.18,5.2,3.19,7.496,85.92584,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.74,7.69,7.63,4.76,8.979,279.291572,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.33,4.53,4.56,2.72,6.877,56.186496000000005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.32,4.36,4.39,2.75,6.554,52.6361,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.27,4.16,4.12,2.56,6.683,43.876352000000004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.63,5.52,5.58,3.39,7.484,104.417424,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,4.34,4.37,2.67,6.353,50.638686,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.53,5.2,5.15,3.21,7.554,85.9638,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7,5.67,5.72,3.54,7.671,114.81069600000001,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.74,5.71,5.76,3.58,7.794,117.74476800000001,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.29,6.89,6.93,4.34,8.727,207.22501799999998,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0.71,5.71,5.76,3.56,8.087,117.086976,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,4.38,4.41,2.74,6.23,52.925292000000006,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.52,5.18,5.22,3.2,7.451,86.52672,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.42,4.9,4.92,2.91,7.072,70.15428,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.06,6.54,6.5,4.02,8.445,170.89019999999996,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.58,5.38,5.4,3.36,7.365,97.61471999999999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.5,7.52,7.57,4.28,8.976,243.64499200000003,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.3,4.33,4.35,2.69,6.76,50.667494999999995,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.0,6.28,6.25,4.09,8.671,160.5325,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.51,5.15,5.17,3.17,7.911,84.40283500000001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.2,7.04,6.95,4.07,8.961,199.13696000000004,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.41,4.78,4.75,2.97,7.266,67.43385,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.42,4.84,4.8,2.97,7.074,68.99904000000001,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.12,6.74,6.66,4.15,8.456,186.28686000000005,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.22,6.86,6.8,4.24,8.606,197.78752000000003,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.5,5.06,5.15,3.11,7.033,81.04349,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.31,4.34,4.31,2.7,6.385,50.50458,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.56,5.33,5.28,3.26,7.633,91.744224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,4.42,4.46,2.75,6.04,54.2113,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.72,5.77,5.81,3.57,7.525,119.67960899999999,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.08,6.54,6.51,4.14,8.573,176.262156,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.31,4.3,4.32,2.72,6.347,50.526720000000005,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.33,4.44,4.45,2.75,6.852,54.334500000000006,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.7,5.71,5.74,3.55,7.631,116.35266999999999,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2.53,8.82,8.76,5.37,9.626,414.903384,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,6.24,6.31,4.07,8.361,160.25380800000002,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.37,4.64,4.6,2.83,7.025,60.40351999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,4.33,4.37,2.67,6.797,50.522007,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.7,7.59,7.64,4.71,9.09,273.12159599999995,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.32,4.39,4.34,2.75,6.356,52.39465,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.54,5.14,5.1,3.21,7.866,84.14693999999999,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.34,4.52,4.57,2.75,6.579,56.805099999999996,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.22,6.82,6.87,4.24,8.971,198.65841600000002,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.7,5.68,5.75,3.5,8.179,114.30999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.22,6.86,6.83,4.23,8.837,198.19157400000003,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.61,7.68,7.6,4.51,9.412,263.23967999999996,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.71,5.69,5.73,3.57,8.115,116.39520900000001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.32,4.42,4.46,2.77,5.961,54.605564,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.54,5.24,5.26,3.23,7.483,89.026552,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.0,6.38,6.35,3.98,8.094,161.24174,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.3,4.32,4.29,2.66,6.654,49.29724800000001,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,6.3,6.38,4.02,8.302,161.57987999999997,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0.38,4.61,4.67,2.91,7.268,62.648517000000005,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.42,4.8,4.77,2.97,6.931,68.00112,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.74,5.84,5.8,3.59,7.93,121.60047999999999,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.7,5.66,5.75,3.53,7.71,114.88385,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.61,5.48,5.53,3.29,7.261,99.70147600000001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.21,6.84,6.8,4.23,8.384,196.74576000000002,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.28,6.96,6.9,4.31,8.936,206.98343999999997,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.26,6.88,6.84,4.34,8.976,204.23692799999998,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.4,4.72,4.66,2.93,7.09,64.445936,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,4.29,4.32,2.7,6.528,50.03856000000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.3,4.34,4.31,2.65,6.564,49.569309999999994,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.81,5.94,5.98,3.7,8.039,131.42844000000002,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.32,4.36,4.38,2.74,6.554,52.32523200000001,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.51,5.1,5.13,3.19,7.432,83.45996999999998,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.76,5.84,5.87,3.61,8.384,123.753688,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.44,4.93,4.88,2.99,6.898,71.934616,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.72,5.8,5.82,3.57,8.195,120.50891999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
